Person_ID	Date	Company	Amount
25	1/22/2002	The Allstate Corporation	500
25	1/5/2012	Wal-Mart Stores, Inc.	500
42	4/5/2009	Enterprise GP Holdings	9000
8	12/3/2006	Exxon Mobil Corporation	8000
4	9/26/2006	Ingram Micro	80500
30	12/26/2008	AmerisourceBergen Corporation	10000
13	7/20/2006	Intel Corporation	4500
18	12/15/2013	Marathon Oil Corp.	5400
6	10/5/2000	Abbott Laboratories	10000
48	10/17/2000	AmerisourceBergen Corporation	300
12	8/1/2003	McDonald's Corporation	1000
30	12/2/2015	Valero Energy Corp	200
20	10/1/2016	Google	97650
41	5/1/2008	Target Corporation	10000
37	8/5/2000	General Electric Company	1200
40	10/28/2008	AFLAC Incorporated	8000
41	8/3/2007	News Corp	500
33	10/13/2007	AmerisourceBergen Corporation	5400
37	10/28/2004	Kohl's Corporation	9000
41	12/7/2005	Express Scripts	300
42	12/6/2002	Fannie Mae	2500
48	2/26/2001	Nike Inc.	8350
44	6/19/2011	United Parcel Service of America, Inc	9000
17	9/27/2011	Bank of America Corporation	200
21	1/24/2011	Microsoft Corporation	80500
11	10/17/2000	Supervalu Inc	75000
24	12/15/2002	Enterprise GP Holdings	9000
48	9/1/2009	Nike Inc.	2500
46	9/28/2005	J.P. Morgan Chase & Co	80500
23	4/1/2009	Procter & Gamble Co	500
38	8/2/2007	Exelon Corporation	80500
33	6/15/2016	Cardinal Health, Inc	5400
12	12/9/2003	American Airlines - AMR	900
10	9/8/2015	The Walt Disney Company	100000
32	9/25/2011	Altria Group Inc	100000
10	9/1/2012	State Farm Insurance	750
23	11/20/2002	Time Warner Inc.	5400
16	12/27/2015	Ingram Micro	97650
20	12/6/2006	MetLife, Inc.	1500
26	5/7/2010	Whirlpool Corporation	500
9	1/3/2016	Cisco Systems, Inc.	300
36	3/5/2009	Johnson Controls, Inc.	2500
20	6/10/2016	Hewlett-Packard Company	75000
34	9/18/2012	Costco Wholesale Corp.	4500
36	5/25/2014	Citigroup Inc	2500
34	4/17/2004	GMAC	100
9	7/17/2009	GMAC	750
43	11/16/2015	Aetna Inc.	300
1	6/26/2014	Travelers Cos	2500
6	11/27/2002	Morgan Stanley	97650
40	5/19/2003	Coca-Cola Enterprises	100
40	9/9/2006	Publix Super Markets	1200
17	7/17/2008	Abbott Laboratories	200
39	7/22/2004	American Airlines - AMR	2500
7	6/20/2001	Sunoco Inc	9000
13	4/26/2000	Tesoro Petroleum Corp	2500
27	6/14/2016	Ingram Micro	1200
36	5/6/2014	Murphy Oil Corp	75000
22	9/2/2015	Abbott Laboratories	8000
7	9/15/2002	Valero Energy Corp	900
5	10/7/2007	Motorola Inc	10000
21	3/19/2015	The Northwestern Mutual Life Insurance Company	4500
39	1/11/2006	American Airlines - AMR	9000
44	9/19/2010	Bank of America Corporation	1500
47	3/24/2011	General Motors Corporation	80500
12	9/2/2001	Kohl's Corporation	97650
15	12/24/2005	Enterprise GP Holdings	300
1	9/18/2008	Express Scripts	4500
16	6/23/2009	TIAA-CREF	200
47	9/15/2004	ChevronTexaco Corporation	500
18	10/14/2011	Travelers Cos	100
14	1/23/2001	Motorola Inc	1500
36	5/13/2012	Bristol-Myers Squibb Co.	5400
45	11/16/2000	Occidental Petroleum Corp	750
38	8/28/2016	Southern Company	10000
32	10/12/2009	Merck & Co Inc	2500
29	2/2/2009	Deere & Company	9000
18	7/21/2007	Goodyear Tire & Rubber	1000
11	10/13/2016	Valero Energy Corp	9000
28	9/8/2015	International Paper Company	100
21	4/27/2006	Procter & Gamble Co	8350
2	8/14/2016	Enterprise GP Holdings	300
32	12/7/2008	Northrop Grumman Corporation	300
33	10/27/2009	Eli Lilly and Co	5400
20	12/3/2011	State Farm Insurance	100000
2	2/20/2014	Medco Health Solutions Inc	2500
7	6/8/2008	McDonald's Corporation	750
14	1/16/2001	International Paper Company	80500
23	9/5/2007	CVS Caremark	5400
2	9/6/2006	Delta Air Lines Inc	2500
8	1/10/2007	Constellation Energy Group	100
37	9/17/2015	Coca-Cola Enterprises	1000
45	3/16/2006	Hewlett-Packard Company	900
43	1/21/2000	International Assets Holding	5400
31	6/21/2001	Emerson Electric Co	97650
25	11/25/2014	United Technologies Corporation	10000
29	5/23/2004	Wal-Mart Stores, Inc.	900
32	9/1/2000	AmerisourceBergen Corporation	2500
48	6/9/2009	Johnson Controls, Inc.	500
15	8/18/2014	Berkshire Hathaway	100000
26	5/27/2003	Exxon Mobil Corporation	2500
22	3/4/2006	Merck & Co Inc	1500
30	9/23/2001	SYSCO Corporation	100000
3	12/27/2000	Hewlett-Packard Company	10000
45	3/11/2006	Honeywell International	300
7	10/1/2009	Johnson Controls, Inc.	4500
19	8/9/2003	CVS Caremark	1200
24	9/17/2016	CHS Inc	8350
31	12/11/2009	United Technologies Corporation	200
35	1/13/2005	Kimberly-Clark Corp	750
47	5/21/2000	International Business Machines Corporation	500
28	11/21/2015	Philip Morris International	97650
22	8/25/2003	Target Corporation	9000
45	7/5/2003	FPL Group Inc	75000
24	3/4/2003	Time Warner Cable	500
13	1/13/2016	Supervalu Inc	4500
19	6/19/2009	Aetna Inc.	9000
16	2/25/2010	Rite Aid Corporation	1500
5	9/17/2010	Apple Computer, Inc	10000
3	8/3/2011	Publix Super Markets	900
7	5/17/2009	WellPoint Health Networks	80500
28	1/19/2001	Target Corporation	100
35	1/13/2002	Time Warner Inc.	80500
28	2/16/2007	U.S. Bancorp	8350
46	4/15/2012	United Services Automobile Association	8350
25	1/28/2009	Amerada Hess Corporation	5400
38	12/1/2015	Ingram Micro	100000
2	3/20/2000	Motorola Inc	300
3	10/18/2008	Cardinal Health, Inc	5400
27	11/13/2011	The Allstate Corporation	10000
43	11/19/2002	The Northwestern Mutual Life Insurance Company	300
30	9/5/2002	Sunoco Inc	9000
10	9/3/2011	Kraft Foods	100000
40	7/21/2002	McKesson Corporation	2500
46	4/14/2004	Oracle Corporation	4500
31	7/24/2004	Delta Air Lines Inc	500
12	10/8/2005	Wal-Mart Stores, Inc.	4500
30	11/1/2016	Occidental Petroleum Corp	750
26	12/8/2007	Exxon Mobil Corporation	10000
31	1/8/2009	3M Company	8350
36	8/27/2016	Delta Air Lines Inc	200
27	7/2/2004	AFLAC Incorporated	4500
34	3/21/2001	Kohl's Corporation	8000
2	12/13/2004	Exelon Corporation	1200
7	7/19/2008	Caterpillar Inc.	75000
34	11/22/2011	Comcast Corporation	750
31	4/28/2008	Johnson Controls, Inc.	500
28	10/24/2004	Manpower Inc.	8350
3	9/19/2006	J.P. Morgan Chase & Co	100000
12	6/8/2004	Sprint	2500
46	2/8/2005	Health Net, Inc.	500
32	12/7/2009	The Boeing Company	750
47	12/7/2005	Altria Group Inc	2500
11	8/11/2000	General Motors Corporation	10000
22	8/19/2013	Apple Computer, Inc	300
22	2/20/2008	ChevronTexaco Corporation	10000
25	10/18/2005	CVS Caremark	900
38	2/23/2001	McKesson Corporation	10000
20	2/17/2005	Medco Health Solutions Inc	500
12	3/27/2005	Time Warner Cable	8000
31	3/28/2011	Publix Super Markets	1500
26	11/9/2011	Motorola Inc	500
24	4/25/2004	Amazon.com Inc.	75000
3	9/10/2005	Amerada Hess Corporation	2500
41	9/15/2010	McDonald's Corporation	9000
19	5/18/2011	Cardinal Health, Inc	10000
47	8/25/2008	Safeway Inc.	97650
26	12/13/2000	Fannie Mae	500
37	12/14/2016	Archer-Daniels-Midland Company	4500
48	12/5/2009	Target Corporation	10000
16	4/24/2013	Alcoa	5400
18	1/7/2006	Cardinal Health, Inc	100
36	9/20/2011	Supervalu Inc	200
47	4/5/2016	Ingram Micro	8000
2	10/23/2004	United Parcel Service of America, Inc	750
2	1/26/2002	DuPont	300
3	7/1/2001	Eli Lilly and Co	200
15	11/12/2004	Health Net, Inc.	500
11	9/9/2015	Northrop Grumman Corporation	100
11	6/14/2010	AT&T Corp	9000
15	4/16/2008	Liberty Mutual	80500
30	7/28/2003	AT&T Corp	4500
18	7/27/2009	Kimberly-Clark Corp	1500
40	2/9/2000	General Dynamics Corporation	1200
19	5/22/2005	Enterprise GP Holdings	100000
14	1/22/2016	Liberty Mutual	8350
33	1/7/2004	United Health Group Inc	200
32	7/18/2016	Macy's	1500
42	10/18/2014	American Airlines - AMR	200
24	6/27/2005	Emerson Electric Co	9000
1	3/8/2014	Safeway Inc.	1000
22	4/24/2008	General Dynamics Corporation	500
36	9/3/2003	Ingram Micro	1000
5	11/15/2008	Oracle Corporation	2500
14	1/27/2008	Safeway Inc.	100
35	1/26/2013	GMAC	1200
11	11/7/2006	TIAA-CREF	8000
44	1/26/2006	The Directv Group Inc	9000
32	1/2/2002	Motorola Inc	500
5	8/27/2010	International Business Machines Corporation	100
20	2/13/2005	United Health Group Inc	100000
43	3/19/2001	Kohl's Corporation	97650
41	12/9/2012	Capital One Financial Corp	2500
18	12/3/2001	Southern Company	200
48	4/14/2000	Rite Aid Corporation	900
19	1/4/2003	Citigroup Inc	100
47	12/25/2013	Occidental Petroleum Corp	300
31	2/10/2011	Sprint	750
17	6/11/2007	Emerson Electric Co	500
6	6/7/2014	Cisco Systems, Inc.	5400
4	4/7/2011	Supervalu Inc	1200
36	9/15/2000	AFLAC Incorporated	100
40	11/7/2010	UAL Corporation(United Airlines)	900
35	8/28/2015	Archer-Daniels-Midland Company	5400
21	2/9/2005	United Services Automobile Association	1000
42	6/21/2013	Marathon Oil Corp.	900
17	2/8/2008	Berkshire Hathaway	8000
41	7/23/2016	U.S. Bancorp	500
38	12/28/2003	Tesoro Petroleum Corp	100000
38	1/3/2015	FPL Group Inc	2500
14	7/25/2001	United Parcel Service of America, Inc	4500
37	10/17/2005	Marathon Oil Corp.	10000
23	10/13/2001	Humana Inc.	10000
25	6/14/2010	The Allstate Corporation	10000
37	8/13/2004	SYSCO Corporation	8350
12	7/2/2010	American Airlines - AMR	2500
